Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,AI Usage Segment,GPA Change,Risk Profile
100001,Humanities,Senior,2.418,23.31,Copywriting/Drafting,Beginner,1,True,8.13,5,Allowed_With_Citation,6,2.393,86.44,High,Heavy User (>15 jam/minggu),-0.0250000000000003,Risiko Tinggi - Well-being
100002,Medical,Junior,3.821,1.12,Ideation,Advanced,5,False,16.65,3,Allowed_With_Citation,9,3.696,69.39,Low,Light User (0-5 jam/minggu),-0.125,Risiko Tinggi - Well-being
100003,Business,Freshman,3.398,21.26,Summarizing_Reading,Beginner,2,False,10.35,5,Strict_Ban,9,3.499,73.93,Medium,Heavy User (>15 jam/minggu),0.1009999999999999,Risiko Tinggi - Well-being
100004,Business,Senior,3.789,1.82,Copywriting/Drafting,Intermediate,4,False,15.23,2,Allowed_With_Citation,2,4.0,63.58,Medium,Light User (0-5 jam/minggu),0.2109999999999998,Risiko Rendah / Normal
100005,STEM,Sophomore,3.635,9.29,Debugging/Troubleshooting,Advanced,4,False,12.55,4,Allowed_With_Citation,4,3.798,100.0,Medium,Moderate User (5-15 jam/minggu),0.1630000000000002,Risiko Rendah / Normal
100006,STEM,Junior,3.449,6.5,Debugging/Troubleshooting,Beginner,1,False,14.19,4,Allowed_With_Citation,5,3.666,65.92,High,Moderate User (5-15 jam/minggu),0.217,Risiko Tinggi - Well-being
100007,STEM,Freshman,3.622,31.41,Summarizing_Reading,Advanced,5,True,13.11,8,Allowed_With_Citation,7,4.0,67.97,Medium,Heavy User (>15 jam/minggu),0.3780000000000001,Risiko Sedang - Dependency
100008,Arts,Junior,2.746,5.33,Copywriting/Drafting,Intermediate,3,False,18.45,2,Actively_Encouraged,1,2.965,85.09,Medium,Moderate User (5-15 jam/minggu),0.2189999999999998,Risiko Rendah / Normal
100009,Business,Sophomore,3.42,2.0,Debugging/Troubleshooting,Beginner,2,True,2.87,1,Strict_Ban,5,3.396,55.71,Medium,Light User (0-5 jam/minggu),-0.024,Risiko Rendah / Normal
100010,Business,Sophomore,3.046,19.99,Debugging/Troubleshooting,Intermediate,2,True,12.49,3,Strict_Ban,8,2.978,87.18,High,Heavy User (>15 jam/minggu),-0.0679999999999996,Risiko Tinggi - Well-being
100011,STEM,Graduate,3.407,5.16,Summarizing_Reading,Advanced,3,False,11.43,5,Allowed_With_Citation,3,3.617,95.42,High,Moderate User (5-15 jam/minggu),0.2099999999999999,Risiko Tinggi - Well-being
100012,Medical,Junior,2.627,3.62,Direct_Answer_Generation,Intermediate,3,False,8.05,3,Actively_Encouraged,3,2.699,72.41,Medium,Light User (0-5 jam/minggu),0.072,Risiko Rendah / Normal
100013,Arts,Senior,3.479,2.86,Copywriting/Drafting,Beginner,2,False,8.95,2,Actively_Encouraged,4,3.612,67.68,High,Light User (0-5 jam/minggu),0.133,Risiko Tinggi - Well-being
100014,STEM,Junior,3.225,8.95,Direct_Answer_Generation,Beginner,1,False,25.3,2,Allowed_With_Citation,3,3.935,64.47,Medium,Moderate User (5-15 jam/minggu),0.71,Risiko Rendah / Normal
100015,STEM,Freshman,3.202,1.22,Copywriting/Drafting,Beginner,1,False,16.52,2,Allowed_With_Citation,4,3.122,70.7,Low,Light User (0-5 jam/minggu),-0.08,Risiko Rendah / Normal
100016,STEM,Senior,2.076,14.74,Debugging/Troubleshooting,Beginner,1,True,12.59,4,Allowed_With_Citation,4,2.228,70.66,Medium,Moderate User (5-15 jam/minggu),0.1520000000000001,Risiko Rendah / Normal
100017,Humanities,Sophomore,2.931,2.08,Direct_Answer_Generation,Advanced,3,False,15.15,5,Strict_Ban,8,3.214,59.69,Medium,Light User (0-5 jam/minggu),0.2829999999999999,Risiko Tinggi - Well-being
100018,Business,Senior,3.156,8.03,Direct_Answer_Generation,Advanced,4,False,10.7,4,Allowed_With_Citation,5,3.39,90.65,Medium,Moderate User (5-15 jam/minggu),0.2339999999999999,Risiko Rendah / Normal
100019,Humanities,Junior,2.975,0.51,Summarizing_Reading,Beginner,1,False,10.84,1,Allowed_With_Citation,2,3.412,53.95,Medium,Light User (0-5 jam/minggu),0.4369999999999998,Risiko Rendah / Normal
100020,STEM,Sophomore,3.305,0.2,Debugging/Troubleshooting,Intermediate,4,False,3.69,1,Allowed_With_Citation,4,3.187,74.23,Medium,Light User (0-5 jam/minggu),-0.1180000000000003,Risiko Rendah / Normal
100021,Business,Sophomore,2.636,1.63,Copywriting/Drafting,Intermediate,4,False,18.71,4,Strict_Ban,3,2.758,78.28,Low,Light User (0-5 jam/minggu),0.1219999999999998,Risiko Rendah / Normal
100022,STEM,Senior,3.529,4.91,Debugging/Troubleshooting,Beginner,1,False,15.78,2,Allowed_With_Citation,6,3.358,67.56,Low,Light User (0-5 jam/minggu),-0.1709999999999998,Risiko Rendah / Normal
100023,STEM,Junior,3.551,10.48,Copywriting/Drafting,Intermediate,2,True,2.75,2,Allowed_With_Citation,3,3.749,68.81,Medium,Moderate User (5-15 jam/minggu),0.1979999999999999,Risiko Rendah / Normal
100024,Humanities,Senior,3.579,0.45,Ideation,Beginner,1,True,10.61,1,Allowed_With_Citation,8,3.76,55.33,Low,Light User (0-5 jam/minggu),0.1809999999999996,Risiko Tinggi - Well-being
100025,Humanities,Freshman,2.364,28.72,Copywriting/Drafting,Beginner,1,False,8.24,8,Strict_Ban,7,2.588,63.38,Medium,Heavy User (>15 jam/minggu),0.2240000000000002,Risiko Sedang - Dependency
